date,swe_mm,tair_c,ppt_mm
2013-03-29,238.8,1.9,2.5
2013-03-30,238.8,1.1,0
2013-03-31,236.2,2.4,0
2013-04-01,233.7,0,2.5
2013-04-02,236.2,-1.4,10.2
2013-04-03,243.8,0.8,0
2013-04-04,243.8,4.3,0
2013-04-05,241.3,4,2.5
2013-04-06,241.3,1.6,0
2013-04-07,241.3,0.6,5.1
2013-04-08,241.3,0.8,7.6
2013-04-09,251.5,-13.8,2.5
2013-04-10,254,-8.9,5.1
2013-04-11,256.5,-2.1,2.5
2013-04-12,256.5,-0.5,2.5
2013-04-13,261.6,1.7,10.2
2013-04-14,269.2,-6.2,5.1
2013-04-15,276.9,-6.9,35.6
2013-04-16,309.9,-6.3,5.1
2013-04-17,315,-10.7,7.6
2013-04-18,322.6,-11.2,2.5
2013-04-19,332.7,-3.7,5.1
2013-04-20,335.3,-0.5,2.5
2013-04-21,340.4,0.4,0
2013-04-22,340.4,-5.6,25.4
2013-04-23,365.8,-9.1,10.2
2013-04-24,378.5,-3.3,2.5
2013-04-25,383.5,1.3,0
2013-04-26,381,2.2,0
2013-04-27,378.5,5.8,0
2013-04-28,373.4,7.5,0
2013-04-29,368.3,7.8,0
2013-04-30,355.6,4.4,12.7
2013-05-01,360.7,-7.4,27.9
2013-05-02,383.5,-6.3,5.1
2013-05-03,391.2,1.7,0
2013-05-04,388.6,-0.2,0
2013-05-05,388.6,1.2,2.5
2013-05-06,391.2,3.3,0
2013-05-07,388.6,4.6,2.5
2013-05-08,381,0.9,33
2013-05-09,411.5,1,10.2
2013-05-10,419.1,1.5,2.5
2013-05-11,424.2,4.6,0
2013-05-12,419.1,9.2,0
2013-05-13,408.9,11.3,0
2013-05-14,388.6,11.3,0
2013-05-15,365.8,7.4,0
2013-05-16,353.1,8.2,0
2013-05-17,330.2,9.9,0
2013-05-18,304.8,6.4,0
2013-05-19,294.6,3.8,0
2013-05-20,274.3,3.2,2.5
2013-05-21,266.7,3.5,0
2013-05-22,246.4,6.3,2.5
2013-05-23,231.1,6,0
2013-05-24,203.2,8.2,0
2013-05-25,172.7,10.2,0
2013-05-26,142.2,10.2,0
2013-05-27,99.1,9,0
2013-05-28,71.1,7.7,0
2013-05-29,55.9,3.2,2.5
2013-05-30,50.8,2.9,2.5
2013-05-31,48.3,4.2,0
2013-06-01,33,4.7,0
2013-06-02,22.9,8.6,0
2013-06-03,17.8,11.5,0
2013-06-04,10.2,7.5,0
2013-06-05,7.6,4.3,0
2013-06-06,0,7.8,0
2013-06-07,0,10.1,0
2013-06-08,0,9.9,0
2013-06-09,0,12.9,0
2013-06-10,0,15.8,0
2013-06-11,0,16.6,0
2013-06-12,0,13.9,0
2013-06-13,0,13.2,0
2013-06-14,0,12.5,0
2013-06-15,0,10.1,0
2013-06-16,0,10,0
2013-06-17,0,9.6,0
2013-06-18,0,10.1,0
2013-06-19,0,13.6,0
2013-06-20,0,11.9,0
2013-06-21,0,13.6,0
2013-06-22,0,11.4,0
2013-06-23,0,9.9,0
2013-06-24,0,12.8,0
2013-06-25,0,12.3,0
2013-06-26,0,14.5,0
2013-06-27,0,17.3,0
2013-06-28,0,14.3,10.2
2013-06-29,0,10,7.6
2013-06-30,0,9.8,5.1
2013-07-01,0,8.7,2.5
2013-07-02,0,9.3,2.5
2013-07-03,0,10.6,2.5
2013-07-04,0,12,0
2013-07-05,0,12.4,2.5
2013-07-06,0,12.8,0
2013-07-07,0,13.8,0
2013-07-08,0,14.7,0
2013-07-09,0,14.7,0
2013-07-10,0,13.8,0
2013-07-11,0,16.3,0
2013-07-12,0,13,10.2
2013-07-13,0,11.9,5.1
2013-07-14,0,10.5,17.8
2013-07-15,0,10.7,2.5
2013-07-16,0,10.6,0
2013-07-17,0,13.5,0
2013-07-18,0,13.4,15.2
2013-07-19,0,11.4,0
2013-07-20,0,13.3,0
2013-07-21,0,14.8,0
2013-07-22,0,14.9,0
2013-07-23,0,14,0
2013-07-24,0,11.9,2.5
2013-07-25,0,9.4,10.2
2013-07-26,0,10.1,0
2013-07-27,0,11.5,0
2013-07-28,0,10.2,0
2013-07-29,0,11,0
2013-07-30,0,12.6,0
2013-07-31,0,12.7,0
2013-08-01,0,13.6,0
2013-08-02,0,15.4,0
